question_id,section,category,question_kr,input_type,options_kr
A1,basic,이름/호칭,"어떻게 불러드리면 편하실까요? (이름이나 별칭을 알려주세요)",text_short,
A2,basic,연령,"연령대는 어디에 해당하시나요?",single_choice,"20대;30대;40대;50대;60대;70대;80대 이상;말하고 싶지 않음"
A3,basic,동거형태,"현재 함께 사는 사람이 있으신가요?",single_choice,"혼자 산다;가족과 산다;배우자와 산다;돌봐주는 사람이 함께 산다;기타"
A4,basic,움직임/기동성,"평소 이동이나 움직임은 어느 정도 가능하신가요?",single_choice,"걷기가 비교적 편하다;천천히라면 걷기는 가능하다;실내에서만 주로 움직인다;대부분 누워 지낸다"
A5,basic,건강상태,"지금 건강 상태는 어떻게 느끼시나요?",single_choice,"크게 아픈 곳은 없다;만성질환이 있다;병원 치료를 꾸준히 받고 있다;중증 질환으로 힘들다;말기/임종이 가까운 상태라고 들었다"

B1,emotion,현재 마음,"요즘 마음 상태를 한 단어로 표현한다면 어떤 느낌에 가까우신가요?",single_choice,"불안하다;무기력하다;외롭다;혼란스럽다;슬프다;그래도 꽤 평온하다;말로 표현하기 어렵다"
B2,emotion,말투 선호,"제가 어떤 말투로 이야기해 드리면 편하실까요?",single_choice,"담백하게, 간단명료하게;조금 따뜻하고 부드럽게;최대한 다정하게;잘 모르겠다"
B3,emotion,생각/대화 스타일,"혼자 생각을 정리하는 게 편하신가요, 아니면 대화로 풀어가는 게 편하신가요?",single_choice,"혼자 조용히 생각하는 편이 좋다;대화를 통해 정리되면 좋다;상황에 따라 다르다"
B4,emotion,떠오르는 사람,"요즘 자주 떠오르는 사람이나 마음이 쓰이는 사람이 있으신가요?",multi_choice,"가족;배우자/연인;자녀;손주;형제/자매;친구/지인;반려동물;딱히 떠오르는 사람이 없다;말하고 싶지 않다"
B5,emotion,피하고 싶은 주제,"대화에서 되도록 피하거나 천천히 다뤘으면 하는 주제가 있으신가요?",multi_choice,"병/건강 이야기;죽음이나 임종 이야기;가족 이야기;돈/재산 이야기;종교 이야기;없다;잘 모르겠다"

C1,values,가치,"지금 삶에서 특히 소중하게 느끼는 가치는 무엇인가요?",multi_choice,"가족;평온함/마음의 편안함;신앙/영적인 것;자기다움/존엄;독립성과 자율성;안정(경제·주거 등);기타"
C2,values,편안한 순간,"하루 중 마음이 조금이라도 편안해지는 순간이 있다면, 언제인가요?",multi_choice,"창밖이나 자연을 볼 때;TV나 라디오를 들을 때;조용히 혼자 있을 때;누군가와 이야기할 때;음악을 들을 때;손이나 몸을 가볍게 움직일 때(정리, 간단한 집안일 등);잘 모르겠다"
C3,values,대화 속도,"제가 질문을 드릴 때, 어느 정도 속도가 편하실까요?",single_choice,"천천히, 한 가지씩;보통 속도로;조금 빠른 템포도 괜찮다;상관 없다"

D1,legacy,이야기 주제 선호,"시간이 괜찮다면, 어떤 종류의 이야기를 나누면 좋을까요?",multi_choice,"가족 이야기;어린 시절이나 젊을 때 이야기;일하거나 살아온 경험 이야기;좋아했던 장소나 계절 이야기;요즘 일상에 대한 이야기;그때그때 떠오르는 대로 이야기하고 싶다"
D2,legacy,메시지 의향,"언젠가 소중한 사람에게 남겨두고 싶은 말이나 마음이 있으신가요?",single_choice,"언젠가 천천히 정리해보고 싶다;지금은 잘 모르겠다;굳이 남기지 않아도 괜찮다"
D3,legacy,기록 방식 선호,"이야기나 마음을 기록한다면 어떤 방식이 더 편하실까요?",single_choice,"말로 편하게 이야기하고 싶다;글처럼 정리해주는 게 좋다;짧은 메모/키워드 정도면 좋다;잘 모르겠다"
